sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
ANZ_KC_GD_4,ANZ,KC,GD,4,GUM,3/1/2015,0,55.10000155,55.10000155,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GT_1,ANZ,KC,GT,1,IF,3/1/2015,0,21.862358,21.862358,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GT_2,ANZ,KC,GT,2,FO,3/1/2015,0,46.70877547,46.70877547,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
ANZ_KC_GT_3,ANZ,KC,GT,3,GUM,3/1/2015,0,41.18737713,41.18737713,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PF_1,DE,APT,PF,1,IF,3/1/2015,0,14.43885689,14.43885689,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PF_2,DE,APT,PF,2,FO,3/1/2015,0,36.0495085,36.0495085,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PF_PRE,DE,APT,PF,PRE,IF,3/1/2015,0,17.21305315,17.21305315,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PN_1,DE,APT,PN,1,IF,3/1/2015,0,184.8848976,184.8848976,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PN_2,DE,APT,PN,2,FO,3/1/2015,0,255.2631932,255.2631932,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PN_3,DE,APT,PN,3,FO,3/1/2015,0,263.3979277,263.3979277,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
